locality,city,avg_rent,distance_to_college,metro_distance,safety_score,food_score,hospital_count,mall_count,public_transport_score,pollution_index,internet_speed,student_rating
Malviya Nagar,Delhi,14168,18.98,4.92,2,5,13,4,5,261,173,2.2
Karol Bagh,Delhi,13338,6.62,3.33,3,7,6,5,1,126,77,3.1
Mayur Vihar,Delhi,8367,5.57,2.98,2,2,10,2,4,73,191,3.6
Kamla Nagar,Delhi,12161,1.75,4.57,9,8,16,3,2,124,187,3.7
Tilak Nagar,Delhi,9634,9.55,4.23,1,5,7,0,2,297,52,4.0
Dwarka,Delhi,11436,11.03,2.11,7,9,11,9,4,114,166,4.4
Okhla,Delhi,8516,12.84,2.31,5,5,10,5,4,195,38,1.7
Vasant Kunj,Delhi,15978,8.28,2.47,2,6,11,13,6,77,50,1.2
Okhla,Delhi,9601,19.45,0.74,6,1,11,9,7,96,73,3.5
Rajouri Garden,Delhi,14359,1.11,0.74,3,8,10,5,7,121,98,2.8
GTB Nagar,Delhi,9840,18.32,2.16,1,4,17,9,6,282,29,1.4
Dwarka,Delhi,10858,9.3,4.3,8,6,12,3,5,52,135,3.0
Rohini,Delhi,7463,15.75,4.49,8,8,12,6,2,170,108,4.6
Malviya Nagar,Delhi,15153,15.28,0.25,5,8,14,10,6,55,48,4.8
Kamla Nagar,Delhi,9408,12.07,3.87,9,4,5,3,6,165,80,3.7
Kamla Nagar,Delhi,8560,17.94,1.27,4,3,3,13,6,72,74,2.1
Dwarka,Delhi,10070,15.33,0.2,9,9,7,8,4,257,34,1.8
Dwarka,Delhi,9812,14.94,2.29,2,5,4,8,4,212,53,3.7
Laxmi Nagar,Delhi,8809,0.56,4.74,3,2,11,14,1,174,129,4.6
Karol Bagh,Delhi,13902,2.99,0.94,1,3,19,13,6,177,44,2.9
Tilak Nagar,Delhi,10757,19.45,4.0,9,3,7,2,5,170,32,3.5
Karol Bagh,Delhi,14701,12.9,0.34,2,7,7,10,7,166,121,3.7
Janakpuri,Delhi,10834,17.49,0.85,7,5,10,7,8,155,45,3.0
Pitampura,Delhi,12380,17.89,2.99,6,1,2,10,7,78,36,2.4
Rajouri Garden,Delhi,13734,17.25,3.73,6,8,18,14,6,104,101,2.4
Saket,Delhi,16817,4.74,4.66,6,5,16,1,4,138,25,2.0
Saket,Delhi,13618,8.93,1.84,3,3,19,11,7,196,189,3.4
Kamla Nagar,Delhi,9094,9.95,4.32,6,4,17,1,4,229,158,2.5
Tilak Nagar,Delhi,8201,10.54,1.74,3,7,11,5,3,274,109,1.3
Kamla Nagar,Delhi,9636,4.98,0.65,7,6,15,13,7,76,40,2.5
Laxmi Nagar,Delhi,8662,9.98,4.71,9,4,19,0,4,129,87,3.5
Laxmi Nagar,Delhi,8713,18.16,1.82,3,4,17,2,5,278,99,2.7
Saket,Delhi,14831,17.65,0.73,2,8,4,5,2,81,33,4.2
Ashok Vihar,Delhi,11387,1.05,0.39,8,8,2,12,9,67,43,1.4
Vasant Kunj,Delhi,17230,13.72,4.27,9,3,4,9,5,253,73,1.6
Vasant Kunj,Delhi,15243,3.94,4.39,7,7,9,6,2,214,180,2.6
Ashok Vihar,Delhi,9404,9.9,3.4,5,7,5,11,9,107,25,2.7
Saket,Delhi,14540,17.25,3.9,9,3,18,6,4,213,32,3.2
Rajouri Garden,Delhi,12865,1.37,0.76,7,4,2,6,2,277,158,1.4
Kamla Nagar,Delhi,11710,12.45,4.46,7,6,17,12,7,281,102,1.7
Vasant Kunj,Delhi,16959,15.46,3.9,4,1,6,1,6,143,22,2.0
Ashok Vihar,Delhi,9794,11.5,3.59,6,8,1,11,8,136,31,2.2
Rajouri Garden,Delhi,12887,6.4,1.5,5,3,3,12,3,207,12,4.3
Vasant Kunj,Delhi,16018,16.52,0.53,3,9,2,5,6,68,73,4.8
Vasant Kunj,Delhi,17499,16.63,2.21,7,3,9,10,8,226,161,3.5
Mukherjee Nagar,Delhi,7489,0.76,3.23,8,4,17,1,8,76,32,4.6
Kamla Nagar,Delhi,8547,3.34,2.77,8,7,3,4,4,261,153,4.2
Vasant Kunj,Delhi,17049,11.46,2.43,6,8,3,14,7,102,162,2.7
Rajouri Garden,Delhi,11628,19.41,2.0,9,1,14,1,6,79,46,1.3
Ashok Vihar,Delhi,10327,9.01,1.4,4,1,12,0,2,141,42,3.1
Tilak Nagar,Delhi,10095,3.1,4.43,3,9,7,1,6,205,165,4.9
Vasant Kunj,Delhi,16261,10.22,3.27,9,9,12,1,7,123,95,4.8
GTB Nagar,Delhi,10074,18.47,0.34,8,9,1,5,7,101,182,4.2
Tilak Nagar,Delhi,7749,9.38,1.7,7,2,17,9,8,225,119,3.3
Saket,Delhi,16575,1.57,3.86,3,7,2,10,4,240,198,2.8
Kamla Nagar,Delhi,11994,13.32,0.34,6,4,19,4,9,57,135,1.2
Ashok Vihar,Delhi,12937,16.71,3.59,9,7,18,7,9,68,28,3.6
Ashok Vihar,Delhi,11669,13.85,4.11,3,5,1,13,6,291,97,2.7
Okhla,Delhi,6108,17.6,2.19,6,5,3,14,3,224,90,2.0
Dwarka,Delhi,8814,7.61,3.8,4,1,12,0,9,243,189,4.1
Rajouri Garden,Delhi,12138,14.99,1.4,8,5,2,8,4,83,94,4.2
Ashok Vihar,Delhi,12692,3.2,2.36,2,3,13,11,9,287,107,2.9
Mukherjee Nagar,Delhi,8659,5.14,2.98,3,5,3,0,6,226,51,4.8
Vasant Kunj,Delhi,16617,19.04,4.78,1,8,12,12,7,129,188,4.3
Mayur Vihar,Delhi,9196,14.9,4.73,8,7,1,14,1,270,102,4.6
Kamla Nagar,Delhi,9265,14.62,3.17,9,6,14,11,8,226,198,5.0
Mayur Vihar,Delhi,9233,10.83,0.77,8,9,6,13,3,192,64,2.2
Saket,Delhi,15604,10.27,2.15,4,4,9,10,9,134,78,4.3
Kamla Nagar,Delhi,9588,3.82,3.44,2,8,12,9,1,111,85,4.9
Dwarka,Delhi,10849,2.95,3.74,5,6,19,10,5,66,108,2.8
Ashok Vihar,Delhi,10199,7.35,2.68,6,2,16,5,3,121,41,4.5
Laxmi Nagar,Delhi,8867,16.33,2.1,4,3,12,1,5,50,44,2.3
GTB Nagar,Delhi,7650,8.28,4.21,9,3,18,13,3,119,159,1.3
Laxmi Nagar,Delhi,8936,19.24,1.8,1,5,6,13,3,75,13,2.7
Vasant Kunj,Delhi,14693,13.22,4.06,1,7,5,11,2,116,144,1.1
Pitampura,Delhi,12238,6.37,3.41,6,8,15,3,1,288,169,3.2
Janakpuri,Delhi,11504,14.09,0.47,6,9,5,2,9,146,166,3.8
Laxmi Nagar,Delhi,10645,18.08,2.23,3,1,15,7,1,186,99,2.0
Malviya Nagar,Delhi,13262,13.73,3.95,2,4,9,10,5,155,13,4.7
Rohini,Delhi,6947,6.54,4.85,5,3,14,4,1,281,115,1.7
Okhla,Delhi,7232,16.84,1.25,5,5,3,4,2,297,181,3.8
Malviya Nagar,Delhi,13369,17.51,0.57,1,4,16,7,5,277,25,3.1
Janakpuri,Delhi,9074,3.51,3.68,5,3,4,10,1,184,36,3.5
Mukherjee Nagar,Delhi,9616,8.46,2.19,4,1,13,1,2,163,133,4.2
Mukherjee Nagar,Delhi,9418,11.48,3.94,9,8,9,7,3,163,23,4.7
Mukherjee Nagar,Delhi,7449,13.59,0.7,8,7,4,1,6,128,168,3.7
Janakpuri,Delhi,11318,1.29,4.41,8,8,10,8,5,183,104,2.0
Tilak Nagar,Delhi,9387,16.63,2.17,4,8,7,10,3,271,116,2.4
Mukherjee Nagar,Delhi,10370,18.7,0.81,7,4,16,13,9,200,64,1.2
Vasant Kunj,Delhi,16721,12.73,2.93,5,8,7,10,6,236,17,3.2
Rajouri Garden,Delhi,12695,0.61,0.19,8,8,7,8,7,71,164,4.9
Tilak Nagar,Delhi,8016,2.14,4.44,5,4,17,8,9,135,180,3.0
Tilak Nagar,Delhi,10486,7.47,4.44,2,1,9,3,5,247,94,2.4
Saket,Delhi,14944,11.93,4.39,3,7,16,14,3,166,28,2.7
Malviya Nagar,Delhi,14858,14.87,4.01,6,6,12,8,3,81,95,2.2
Mukherjee Nagar,Delhi,9490,11.16,2.6,7,5,8,1,4,61,118,1.8
Saket,Delhi,16789,5.97,1.6,7,5,10,10,9,244,145,1.9
Ashok Vihar,Delhi,11344,13.4,3.09,5,3,14,11,9,286,107,4.1
Saket,Delhi,13244,7.47,4.53,4,3,12,5,3,113,19,3.0
Karol Bagh,Delhi,15839,2.12,1.61,5,7,14,1,1,166,105,1.8
GTB Nagar,Delhi,9755,3.31,1.64,9,4,13,10,9,270,27,4.6
Tilak Nagar,Delhi,8419,19.0,3.24,3,5,6,4,3,246,82,3.2
Okhla,Delhi,9910,3.84,1.54,5,8,4,2,7,226,38,3.8
Vasant Kunj,Delhi,15985,2.67,2.08,3,8,7,8,7,130,36,4.4
Mukherjee Nagar,Delhi,6817,11.2,1.54,2,7,12,12,2,267,143,1.2
Laxmi Nagar,Delhi,8015,11.88,3.25,5,3,8,10,6,131,65,3.8
Kamla Nagar,Delhi,9890,3.18,1.89,7,2,19,13,7,198,157,3.2
Pitampura,Delhi,12551,10.35,2.25,4,8,3,7,5,69,106,2.4
Pitampura,Delhi,11311,3.16,2.8,8,5,12,11,9,265,33,2.4
Mayur Vihar,Delhi,9329,16.74,1.82,1,3,3,2,3,159,123,1.6
Dwarka,Delhi,11491,14.12,3.67,3,6,3,14,9,242,19,2.5
Mukherjee Nagar,Delhi,6600,9.45,4.88,1,8,3,2,6,99,75,1.9
Vasant Kunj,Delhi,17107,12.44,0.51,2,7,14,7,1,58,113,3.7
Laxmi Nagar,Delhi,8190,9.57,3.7,9,1,2,13,2,108,157,1.8
Janakpuri,Delhi,9674,1.04,0.41,6,2,7,9,6,206,107,1.7
Laxmi Nagar,Delhi,8957,18.19,2.85,9,1,6,6,3,194,118,1.8
Laxmi Nagar,Delhi,10329,17.56,4.28,6,4,9,2,5,240,48,4.5
Dwarka,Delhi,10818,3.23,2.75,2,4,8,10,6,189,168,2.3
Pitampura,Delhi,10434,19.69,0.35,8,5,14,14,5,124,154,4.1
GTB Nagar,Delhi,8820,13.88,1.26,2,3,1,3,2,69,196,1.2
Kamla Nagar,Delhi,8502,15.4,2.42,6,7,17,1,9,125,162,1.4
Dwarka,Delhi,11643,16.93,4.34,4,8,14,14,2,232,116,2.4
Mukherjee Nagar,Delhi,7680,3.39,4.39,2,7,18,3,1,204,111,3.9
Karol Bagh,Delhi,12831,13.15,0.23,7,4,16,5,4,51,33,2.2
Janakpuri,Delhi,12001,7.12,1.86,3,6,8,2,4,127,75,2.5
Mayur Vihar,Delhi,8495,1.35,2.01,4,2,14,14,4,282,193,5.0
Malviya Nagar,Delhi,12181,13.31,0.42,6,5,11,11,7,138,186,3.3
Dwarka,Delhi,11938,4.43,2.21,8,6,11,6,4,295,87,2.0
GTB Nagar,Delhi,9601,9.0,1.04,4,6,11,7,7,204,132,3.4
Okhla,Delhi,8291,19.51,2.27,9,2,2,9,8,179,58,3.3
Mukherjee Nagar,Delhi,10386,2.24,4.53,7,5,8,4,7,280,123,4.5
Karol Bagh,Delhi,14717,18.86,2.26,4,4,1,3,4,89,29,4.7
Pitampura,Delhi,12122,10.58,3.6,7,2,17,2,6,167,105,4.2
Pitampura,Delhi,13348,12.59,2.06,8,8,14,5,1,238,167,1.8
Vasant Kunj,Delhi,17142,6.64,2.32,6,4,6,7,2,218,42,1.3
Laxmi Nagar,Delhi,8491,0.96,3.5,5,4,19,1,9,124,82,2.4
Janakpuri,Delhi,10015,7.04,0.39,9,6,13,13,3,68,126,2.8
Mukherjee Nagar,Delhi,9843,9.93,1.47,1,5,3,8,6,193,161,3.7
Janakpuri,Delhi,9639,4.97,2.32,8,2,9,3,8,209,52,3.1
Dwarka,Delhi,9838,13.19,4.14,5,2,15,3,3,267,100,4.5
Ashok Vihar,Delhi,11534,11.35,0.68,3,8,5,9,9,126,179,2.0
Laxmi Nagar,Delhi,8683,17.42,1.74,3,2,5,3,5,213,96,4.8
Ashok Vihar,Delhi,11921,4.71,1.99,1,7,13,1,3,255,71,2.2
Kamla Nagar,Delhi,10520,4.48,0.26,1,1,10,14,8,167,49,4.1
Vasant Kunj,Delhi,17688,19.96,4.18,5,7,1,10,3,74,194,1.4
Rajouri Garden,Delhi,14365,7.7,4.5,6,4,2,11,7,135,46,1.2
Kamla Nagar,Delhi,10788,18.05,4.68,2,9,15,12,6,108,26,4.4
Rohini,Delhi,9556,10.38,4.3,7,5,14,9,3,174,54,2.8
Laxmi Nagar,Delhi,8284,19.2,2.17,2,2,1,2,1,172,36,4.5
Mayur Vihar,Delhi,9372,12.38,0.82,9,1,18,6,3,169,123,4.2
Saket,Delhi,16377,16.46,0.44,5,7,4,12,3,126,139,1.7
Kamla Nagar,Delhi,12290,13.42,0.23,2,4,14,2,6,147,196,2.2
Mayur Vihar,Delhi,11863,14.85,3.08,2,5,8,0,1,81,106,4.9
Saket,Delhi,13608,3.93,2.53,5,6,9,6,9,161,118,4.3
Karol Bagh,Delhi,12430,2.58,1.48,1,6,15,5,6,205,18,1.7
Malviya Nagar,Delhi,13016,9.34,4.58,7,3,16,6,1,289,76,1.5
Dwarka,Delhi,10656,14.2,3.91,3,3,7,3,1,241,91,2.8
Malviya Nagar,Delhi,15160,5.98,0.89,4,8,2,0,1,197,103,3.2
Rohini,Delhi,9989,19.32,3.69,3,5,16,8,9,143,162,2.2
Ashok Vihar,Delhi,10494,5.85,2.46,8,9,16,0,9,239,155,2.7
Malviya Nagar,Delhi,15892,9.1,1.72,3,1,17,8,5,263,105,2.1
Okhla,Delhi,6335,14.77,2.03,3,9,12,7,2,216,72,1.0
Rajouri Garden,Delhi,14868,2.72,3.27,6,8,19,13,4,74,51,1.9
Saket,Delhi,14999,2.47,3.91,2,9,8,3,6,206,77,3.7
Janakpuri,Delhi,9592,18.88,1.52,3,1,13,11,2,74,23,2.6
Rajouri Garden,Delhi,13011,19.57,1.96,6,7,8,12,8,166,148,1.4
Ashok Vihar,Delhi,11524,14.36,4.02,5,7,7,7,3,136,118,4.9
Pitampura,Delhi,10123,17.88,0.67,3,3,16,11,6,286,45,3.1
GTB Nagar,Delhi,8070,1.71,4.27,9,6,16,2,3,87,22,1.8
Saket,Delhi,14002,14.81,4.84,1,3,3,3,5,276,68,2.6
Malviya Nagar,Delhi,14640,10.6,2.78,3,6,9,14,5,250,118,3.5
Ashok Vihar,Delhi,10812,7.09,3.75,3,5,11,10,7,198,32,2.3
Janakpuri,Delhi,9465,19.76,1.11,5,7,11,4,7,164,146,2.9
Dwarka,Delhi,9335,14.11,2.28,1,4,13,9,4,295,161,3.9
Janakpuri,Delhi,10233,6.86,4.61,8,2,4,0,8,96,107,4.8
Rohini,Delhi,8659,5.91,3.14,4,4,19,5,5,227,65,3.8
Saket,Delhi,15061,4.13,4.01,7,1,16,3,1,183,41,3.5
Rohini,Delhi,9020,15.52,0.43,8,2,17,3,2,157,91,3.7
Laxmi Nagar,Delhi,10529,1.18,1.22,9,2,8,8,3,161,187,2.8
Malviya Nagar,Delhi,14519,16.96,4.57,6,7,13,14,5,132,186,1.8
Rajouri Garden,Delhi,13505,7.62,2.1,2,5,12,7,2,131,60,3.8
Vasant Kunj,Delhi,15991,9.77,3.26,1,8,17,13,4,285,21,3.8
Saket,Delhi,16949,16.26,1.66,1,4,9,5,2,144,165,2.6
Pitampura,Delhi,12427,14.34,0.78,1,7,4,14,4,97,196,4.3
Janakpuri,Delhi,9700,1.4,2.44,4,2,7,6,1,289,98,1.6
Karol Bagh,Delhi,15782,11.89,0.45,1,4,19,12,1,293,142,3.2
Tilak Nagar,Delhi,10286,7.13,4.27,4,5,11,11,8,185,97,3.5
Pitampura,Delhi,10430,17.22,3.75,3,2,12,6,5,291,166,2.2
GTB Nagar,Delhi,10296,11.83,4.07,6,7,9,0,9,166,131,4.7
Mukherjee Nagar,Delhi,8755,7.92,4.11,3,7,14,6,5,129,93,2.3
Ashok Vihar,Delhi,12324,2.48,3.97,8,6,11,3,8,295,24,4.8
Vasant Kunj,Delhi,17013,4.53,0.71,4,5,16,13,4,245,182,1.4
Okhla,Delhi,7023,8.49,2.16,4,7,6,7,5,109,74,1.3
GTB Nagar,Delhi,7628,10.51,3.79,5,7,9,11,8,81,199,3.2
GTB Nagar,Delhi,9252,11.7,3.63,7,9,16,13,2,233,159,4.4
Rohini,Delhi,9840,9.61,0.14,8,3,3,7,7,144,115,1.3
Mukherjee Nagar,Delhi,8796,18.68,0.53,1,1,14,4,3,131,195,4.6
Janakpuri,Delhi,12484,4.63,4.62,1,8,18,9,6,192,145,3.0
Mukherjee Nagar,Delhi,6997,1.36,0.38,3,8,13,5,5,298,146,1.5
Saket,Delhi,16659,5.02,2.94,1,1,18,4,4,206,70,1.5
Rajouri Garden,Delhi,12040,2.52,0.68,2,9,4,3,8,170,66,2.8
Mayur Vihar,Delhi,9111,12.47,3.83,6,1,7,2,3,120,120,4.3
Saket,Delhi,16645,3.0,4.76,6,3,2,10,7,58,78,2.2
Mayur Vihar,Delhi,10725,12.22,2.26,5,4,8,10,5,170,15,1.7
Okhla,Delhi,9659,9.12,0.56,8,4,15,4,7,240,159,2.3
Kamla Nagar,Delhi,9509,1.9,4.47,4,2,8,8,9,191,52,2.5
Mayur Vihar,Delhi,11360,12.35,3.56,8,7,12,10,3,67,83,4.4
Pitampura,Delhi,12132,16.94,3.67,5,5,13,4,7,77,73,3.8
Vasant Kunj,Delhi,14367,7.82,2.21,6,5,12,14,1,198,168,3.5
Rajouri Garden,Delhi,14929,7.84,4.22,7,2,18,2,3,149,106,3.7
